episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,counters/last_target_update_ts,counters/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/default_policy/td_error,info/learner/default_policy/mean_td_error,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/mean_q,info/learner/default_policy/learner_stats/min_q,info/learner/default_policy/learner_stats/max_q,info/learner/default_policy/learner_stats/cur_lr
nan,nan,nan,nan,0,2,1000,32,1000,32,1000,32,1000,1000,False,0,1,393f4_00000,6f2a53c687f942d992fc52a4f6fbf96f,2026-04-15_17-01-32,1776286892,4.04667592048645,4.04667592048645,29336,ipsec-10-2-65-243.vpn.gatech.edu,127.0.0.1,4.04667592048645,0,1,14.482161045074463,1000,32,1000,32,1000,1,nan,nan,nan,nan,0,[],[],37.945,0.062,518215.166,79.953,400.237,0.544,1000,32,1000,32,1000,1,30.049999999999997,81.86666666666667,[],[],"[-0.2601691  -0.17066054 -0.38948715 -0.44493896 -1.016593   -0.49430153
 -0.2639752  -0.2449319  -0.19714877 -1.0537333  -0.00492024 -1.7870451
 -0.75544894 -0.40700692 -0.6198828  -0.4486812  -0.514807   -0.5963813
 -0.18122685 -0.37515157 -0.9408352  -0.27994427 -0.5917973  -0.02714491
 -0.6525232  -0.6274393  -0.64666486 -0.7925008  -1.016593   -0.17831276
 -0.4775864  -0.3653785 ]",-0.5257253646850586,32.0,0.0,3.8667545,-0.09872907400131226,-1.3682489395141602,0.3998005986213684,0.0005
0.0,0.0,0.0,999.0,2,2,2000,4032,2000,4032,1000,4000,2000,2000,False,2,2,393f4_00000,6f2a53c687f942d992fc52a4f6fbf96f,2026-04-15_17-01-36,1776286896,4.680844068527222,8.727519989013672,29336,ipsec-10-2-65-243.vpn.gatech.edu,127.0.0.1,8.727519989013672,0,2,14.482161045074463,2000,4032,2000,4032,1504,2,0.0,0.0,0.0,999.0,2,"[0.0, 0.0]","[999, 999]",37.217,0.056,575547.719,2.608,12267.746,0.566,2000,4032,2000,4032,1504,2,27.728571428571428,81.31428571428572,"[0.0, 0.0]","[999, 999]","[ 0.3341899   0.00986183 -0.03292406 -0.10665596 -0.17016721  0.30131096
  0.05399561 -0.02193856  0.38029563  0.11269093  0.21745479  0.07605374
  0.12026286  0.30012524  0.02055657  0.00921965 -0.13165605  0.04536998
  0.22824001 -0.1374768   0.10109282 -0.15115166  0.2710325   0.02749312
  0.03413308  0.00355697 -0.10096109  0.28716958  0.06573594 -0.17898834
  0.22226167  0.12497246]",0.07234862446784973,32.0,0.0,0.043509096,1.4134948253631592,1.0251927375793457,1.8872730731964111,0.0005
0.0,0.0,0.0,999.0,0,2,3000,8032,3000,8032,1000,4000,3000,3000,False,2,3,393f4_00000,6f2a53c687f942d992fc52a4f6fbf96f,2026-04-15_17-01-41,1776286901,4.835603952407837,13.563123941421509,29336,ipsec-10-2-65-243.vpn.gatech.edu,127.0.0.1,13.563123941421509,0,3,14.482161045074463,3000,8032,3000,8032,2512,4,0.0,0.0,0.0,999.0,0,"[0.0, 0.0]","[999, 999]",36.258,0.058,556227.634,2.666,12004.949,0.562,3000,8032,3000,8032,2512,4,42.31428571428571,80.3142857142857,"[0.0, 0.0]","[999, 999]","[-0.0114572   0.08854342 -0.11352104  0.02164626 -0.271991    0.1559676
  0.06661916 -0.19185352 -0.15044713 -0.22345507 -0.2033149  -0.01228797
  0.13180411  0.03783119  0.00697637 -0.0976305  -0.14842844 -0.12331438
 -0.15532923  0.13862145  0.07123029 -0.10404736 -0.26340926  0.07970667
  0.15900803 -0.10705745 -0.12072778  0.06029189  0.17353535  0.34838378
 -0.1685816  -0.03981495]",-0.03020322509109974,32.0,0.0,0.018735709,1.6910501718521118,0.864855945110321,2.1660823822021484,0.0005
0.0,0.0,0.0,999.5,2,2,4000,12032,4000,12032,1000,4000,4000,4000,False,4,4,393f4_00000,6f2a53c687f942d992fc52a4f6fbf96f,2026-04-15_17-01-46,1776286906,4.578006029129028,18.141129970550537,29336,ipsec-10-2-65-243.vpn.gatech.edu,127.0.0.1,18.141129970550537,0,4,14.482161045074463,4000,12032,4000,12032,3520,6,0.0,0.0,0.0,999.5,2,"[0.0, 0.0, 0.0, 0.0]","[999, 999, 1000, 1000]",35.959,0.057,560408.05,2.637,12133.992,0.551,4000,12032,4000,12032,3520,6,30.983333333333334,80.48333333333333,"[0.0, 0.0, 0.0, 0.0]","[999, 999, 1000, 1000]","[ 0.02529931  0.04362535 -0.04688883 -0.04330492  0.05922329 -0.04340661
  0.07664406  0.25606668 -0.17438686  0.3279897  -0.06053352 -0.13751352
  0.10443878  0.03387237 -0.22871673 -0.01826596  0.02599382  0.09418392
 -0.11099815 -0.20661879 -0.06422806  0.13187397 -0.12318158  0.05947912
 -0.06872439 -0.03964567  0.00534534 -0.00178266  0.12783408 -0.16293454
 -0.0104692  -0.12763846]",-0.00929277017712593,32.0,0.0,0.014198164,1.8489545583724976,1.4297165870666504,2.1849145889282227,0.0005
0.0,0.0,0.0,999.5,0,2,5000,16032,5000,16032,1000,4000,5000,5000,False,4,5,393f4_00000,6f2a53c687f942d992fc52a4f6fbf96f,2026-04-15_17-01-50,1776286910,4.5819783210754395,22.723108291625977,29336,ipsec-10-2-65-243.vpn.gatech.edu,127.0.0.1,22.723108291625977,0,5,14.482161045074463,5000,16032,5000,16032,4528,8,0.0,0.0,0.0,999.5,0,"[0.0, 0.0, 0.0, 0.0]","[999, 999, 1000, 1000]",36.647,0.056,571139.268,2.666,12001.943,0.69,5000,16032,5000,16032,4528,8,31.028571428571432,79.97142857142858,"[0.0, 0.0, 0.0, 0.0]","[999, 999, 1000, 1000]","[ 0.00364661 -0.03769493  0.02917123 -0.02945209  0.04971087  0.26898587
  0.05402207 -0.08006477 -0.01788378  0.0110662   0.12397933  0.20441127
 -0.2887237   0.05675173 -0.11253858 -0.00627398  0.00177813  0.12665701
 -0.01865745 -0.13135886 -0.10707307 -0.12708986 -0.01690936  0.08142567
  0.20441127  0.11630821  0.17535734  0.15040183 -0.04039884  0.11491799
 -0.03001666  0.04890037]",0.024305220693349838,32.0,0.0,0.013481433,2.1459360122680664,1.904311180114746,2.394758701324463,0.0005
0.0,0.0,0.0,999.6666666666666,2,2,6000,20032,6000,20032,1000,4000,6000,6000,False,6,6,393f4_00000,6f2a53c687f942d992fc52a4f6fbf96f,2026-04-15_17-01-55,1776286915,4.6582350730896,27.381343364715576,29336,ipsec-10-2-65-243.vpn.gatech.edu,127.0.0.1,27.381343364715576,0,6,14.482161045074463,6000,20032,6000,20032,5536,10,0.0,0.0,0.0,999.6666666666666,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[999, 999, 1000, 1000, 1000, 1000]",43.255,0.057,559240.533,2.865,11167.501,0.599,6000,20032,6000,20032,5536,10,37.3,80.55714285714285,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[999, 999, 1000, 1000, 1000, 1000]","[-1.9901800e-01 -2.6020765e-02 -2.3184931e-01 -8.2567692e-02
  8.5594654e-03  1.1215091e-01 -1.8456221e-01 -9.8583460e-02
  4.2347908e-03  6.2341452e-02  3.5278559e-02 -1.6665220e-02
 -4.7116756e-02 -3.2949209e-02  4.5994997e-02  2.3885727e-02
  8.8629723e-02 -1.2807727e-01 -8.4638596e-05  1.2981892e-03
 -2.0766973e-02  6.3195229e-02  5.0541401e-02 -1.2608874e-01
 -5.8786869e-03  1.0104895e-02  7.0465326e-02  2.8157234e-03
  5.5899620e-03 -5.2150011e-02 -1.1078286e-01  5.1182032e-02]",-0.02271541953086853,32.0,0.0,0.013457,2.160719871520996,1.6742606163024902,2.3922319412231445,0.0005
1.3935999870300293,0.0,0.19908571243286133,900.1428571428571,1,2,7000,24032,7000,24032,1000,4000,7000,7000,False,7,7,393f4_00000,6f2a53c687f942d992fc52a4f6fbf96f,2026-04-15_17-02-00,1776286920,4.639609098434448,32.020952463150024,29336,ipsec-10-2-65-243.vpn.gatech.edu,127.0.0.1,32.020952463150024,0,7,14.482161045074463,7000,24032,7000,24032,6544,12,1.3935999870300293,0.0,0.19908571243286133,900.1428571428571,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3935999870300293]","[999, 999, 1000, 1000, 1000, 1000, 303]",35.405,0.059,540111.581,2.648,12084.937,0.553,7000,24032,7000,24032,6544,12,29.21666666666667,80.10000000000001,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3935999870300293]","[999, 999, 1000, 1000, 1000, 1000, 303]","[ 0.04137468  0.0982728  -0.0351634   0.04451203  0.22892559  0.03884411
  0.14823186 -0.09666252 -0.0567677   0.03576875 -0.16801333  0.24803638
 -0.02725792  0.01845026  0.10370231  0.04699659 -0.09039187 -0.11283684
  0.03436828 -0.02725101 -0.048738   -0.09354258  0.28288198  0.19404793
 -0.06374097 -0.03138256  0.32613707 -0.16801333  0.04029512  0.0110364
 -0.10814214  0.11799431]",0.02912413328886032,32.0,0.0,0.019262096,2.18908953666687,1.9496796131134033,2.5109541416168213,0.0005
1.3935999870300293,-2.0,-0.07580000162124634,901.75,1,2,8000,28032,8000,28032,1000,4000,8000,8000,False,8,8,393f4_00000,6f2a53c687f942d992fc52a4f6fbf96f,2026-04-15_17-02-04,1776286924,4.519815921783447,36.54076838493347,29336,ipsec-10-2-65-243.vpn.gatech.edu,127.0.0.1,36.54076838493347,0,8,14.482161045074463,8000,28032,8000,28032,7552,14,1.3935999870300293,-2.0,-0.07580000162124634,901.75,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3935999870300293, -2.0]","[999, 999, 1000, 1000, 1000, 1000, 303, 913]",36.292,0.057,559007.613,2.708,11815.253,0.558,8000,28032,8000,28032,7552,14,40.32857142857143,79.39999999999999,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3935999870300293, -2.0]","[999, 999, 1000, 1000, 1000, 1000, 303, 913]","[-9.4709873e-02 -1.0956216e-01 -5.4603100e-02 -2.1267176e-02
 -3.8310289e-02 -3.5676479e-02 -1.4249563e-02 -5.3436041e-02
  7.1151733e-02 -1.5533280e-01  1.4940643e-01  1.2196541e-02
 -1.1297178e-01  1.5687943e-04 -7.1115732e-02  7.3643923e-03
 -8.6120844e-02 -8.2049131e-02 -1.8528461e-02 -8.9263916e-04
 -1.0643363e-01  8.6033583e-02  1.4559507e-02 -1.2959242e-02
  3.1143188e-02 -1.7643547e-01 -9.2498064e-02 -8.5641623e-02
  6.7617416e-02  6.6545725e-02 -4.0769577e-04 -1.0932171e-01]",-0.032073378562927246,32.0,0.0,0.019173717,2.1888813972473145,1.9564825296401978,2.577289581298828,0.0005
1.3935999870300293,-2.0,-0.06737777921888563,912.6666666666666,1,2,9000,32032,9000,32032,1000,4000,9000,9000,False,9,9,393f4_00000,6f2a53c687f942d992fc52a4f6fbf96f,2026-04-15_17-02-09,1776286929,4.5020129680633545,41.042781352996826,29336,ipsec-10-2-65-243.vpn.gatech.edu,127.0.0.1,41.042781352996826,0,9,14.482161045074463,9000,32032,9000,32032,8560,16,1.3935999870300293,-2.0,-0.06737777921888563,912.6666666666666,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3935999870300293, -2.0, 0.0]","[999, 999, 1000, 1000, 1000, 1000, 303, 913, 1000]",35.405,0.056,570411.084,2.58,12404.137,0.547,9000,32032,9000,32032,8560,16,33.43333333333333,79.46666666666667,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3935999870300293, -2.0, 0.0]","[999, 999, 1000, 1000, 1000, 1000, 303, 913, 1000]","[ 0.08262587 -0.07944465  0.01438713  0.04518127  0.10794497  0.00213194
 -0.014364    0.04096937  0.07659197 -0.19258714  0.03069782  0.05914354
 -0.02668738  0.13423777  0.03304338  0.05790734  0.04341817  0.04865122
 -0.12971306  0.00759053  0.02063823 -0.07352734  0.12113714 -0.1505866
 -0.05674481 -0.03948903  0.32402325  0.01484823  0.03023815  0.06834817
 -0.0462501  -0.09103322]",0.014479003846645355,32.0,0.0,0.012489738,2.238865852355957,2.046123504638672,2.5015859603881836,0.0005
1.3935999870300293,-2.0,-0.06064000129699707,921.4,1,2,10000,36032,10000,36032,1000,4000,10000,10000,True,10,10,393f4_00000,6f2a53c687f942d992fc52a4f6fbf96f,2026-04-15_17-02-13,1776286933,4.501107931137085,45.54388928413391,29336,ipsec-10-2-65-243.vpn.gatech.edu,127.0.0.1,45.54388928413391,0,10,14.482161045074463,10000,36032,10000,36032,9568,18,1.3935999870300293,-2.0,-0.06064000129699707,921.4,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3935999870300293, -2.0, 0.0, 0.0]","[999, 999, 1000, 1000, 1000, 1000, 303, 913, 1000, 1000]",36.867,0.058,550749.807,2.788,11475.72,0.565,10000,36032,10000,36032,9568,18,28.085714285714285,79.71428571428571,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3935999870300293, -2.0, 0.0, 0.0]","[999, 999, 1000, 1000, 1000, 1000, 303, 913, 1000, 1000]","[-0.06129718 -0.12566853 -0.04912257 -0.00213528  0.03775978 -0.0932076
 -0.00942898  0.06255531  0.06047344 -0.05330992  0.05064249 -0.00641394
 -0.05179882  0.07952619 -0.12888074  0.01216793 -0.29288602  0.03891563
 -0.14492774  0.0040617   0.08291364 -0.07810783  0.07474589  0.07413864
  0.04687166 -0.08829904 -0.13814926 -0.0318563  -0.08758712  0.1531825
 -0.18746781 -0.01768732]",-0.027196161448955536,32.0,0.0,0.015503853,2.219728946685791,2.0001158714294434,2.5025317668914795,0.0005
